Number,Name,Gender,Eye Color,Race,Hair Color,Height in cm,Publisher,Skin Color,Alignment,Weight in kg
390,King Shark,Male,black,Animal,No Hair,,DC Comics,-,bad,
391,Kingpin,Male,blue,Human,No Hair,201,Marvel Comics,-,bad,203
392,Klaw,Male,red,Human,No Hair,188,Marvel Comics,red,bad,97
393,Kool-Aid Man,Male,black,-,No Hair,,,red,good,
394,Kraven II,Male,brown,Human,Black,191,Marvel Comics,-,bad,99
395,Kraven the Hunter,Male,brown,Human,Black,183,Marvel Comics,-,bad,106
396,Krypto,Male,blue,Kryptonian,White,64,DC Comics,-,good,18
397,Kyle Rayner,Male,green,Human,Black,180,DC Comics,-,good,79
398,Kylo Ren,Male,-,Human,-,,George Lucas,-,bad,
399,Lady Bullseye,Female,-,-,Black,,Marvel Comics,-,bad,
400,Lady Deathstrike,Female,brown,Cyborg,Black,175,Marvel Comics,-,bad,58
401,Leader,Male,green,-,No Hair,178,Marvel Comics,-,bad,63
402,Leech,Male,-,-,-,,Marvel Comics,-,good,
403,Legion,Male,green / blue,Mutant,Black,175,Marvel Comics,-,good,59
404,Leonardo,Male,blue,Mutant,No Hair,,IDW Publishing,green,good,
405,Lex Luthor,Male,green,Human,No Hair,188,DC Comics,-,bad,95
406,Light Lass,Female,blue,-,Red,165,DC Comics,-,good,54
407,Lightning Lad,Male,blue,-,Red,155,DC Comics,-,good,65
408,Lightning Lord,Male,blue,-,Red,191,DC Comics,-,bad,95
409,Living Brain,-,yellow,-,-,198,Marvel Comics,-,bad,360
410,Living Tribunal,-,blue,Cosmic Entity,No Hair,,Marvel Comics,gold,neutral,
411,Liz Sherman,Female,-,-,-,,Dark Horse Comics,-,good,
412,Lizard,Male,red,Human,No Hair,203,Marvel Comics,-,bad,230
413,Lobo,Male,red,Czarnian,Black,229,DC Comics,blue-white,neutral,288
414,Loki,Male,green,Asgardian,Black,193,Marvel Comics,-,bad,236
415,Longshot,Male,blue,Human,Blond,188,Marvel Comics,-,good,36
416,Luke Cage,Male,brown,Human,Black,198,Marvel Comics,-,good,191
417,Luke Campbell,Male,-,-,-,,NBC - Heroes,-,bad,
418,Luke Skywalker,Male,blue,Human,Blond,168,George Lucas,-,good,77
419,Luna,Female,-,Human,-,,Marvel Comics,-,good,
420,Lyja,Female,green,-,Green,,Marvel Comics,-,good,
421,Mach-IV,Male,brown,-,Brown,180,Marvel Comics,-,bad,79
422,Machine Man,-,red,-,Black,183,Marvel Comics,-,good,383
423,Magneto,Male,grey,Mutant,White,188,Marvel Comics,-,bad,86
424,Magog,Male,blue,-,Blond,,DC Comics,-,good,
425,Magus,Male,black,-,-,183,Marvel Comics,-,bad,
426,Man of Miracles,-,blue,God / Eternal,Silver,,Image Comics,-,-,
427,Man-Bat,Male,brown,Human,Brown,,DC Comics,-,neutral,
428,Man-Thing,Male,red,-,No Hair,213,Marvel Comics,green,good,225
429,Man-Wolf,Male,brown,-,Auburn,188,Marvel Comics,-,good,90
430,Mandarin,Male,blue,Human,White,188,Marvel Comics,-,bad,97
431,Mantis,Female,green,Human-Kree,Black,168,Marvel Comics,green,good,52
432,Martian Manhunter,Male,red,Martian,No Hair,201,DC Comics,green,good,135
433,Marvel Girl,Female,green,-,Red,170,Marvel Comics,-,good,56
434,Master Brood,Male,blue,-,Black,183,Team Epic TV,-,good,81
435,Master Chief,Male,brown,Human / Altered,Brown,213,Microsoft,-,good,
436,Match,Male,black,-,Black,,DC Comics,-,bad,
437,Matt Parkman,Male,-,-,-,,NBC - Heroes,-,good,
438,Maverick,Male,blue,-,Black,193,Marvel Comics,-,good,110
439,Maxima,Female,brown,-,Red,180,DC Comics,-,bad,72
440,Maya Herrera,Female,-,-,-,,NBC - Heroes,-,good,
441,Medusa,Female,green,Inhuman,Red,180,Marvel Comics,-,good,59
442,Meltdown,Female,blue,-,Blond,165,Marvel Comics,-,good,54
443,Mephisto,Male,white,-,Black,198,Marvel Comics,-,bad,140
444,Mera,Female,blue,Atlantean,Red,175,DC Comics,-,good,72
445,Metallo,Male,green,Android,Brown,196,DC Comics,-,bad,90
446,Metamorpho,Male,black,-,No Hair,185,DC Comics,-,good,90
447,Meteorite,Female,-,-,-,,Marvel Comics,-,good,
448,Metron,Male,blue,-,Black,185,DC Comics,-,good,86
449,Micah Sanders,Male,brown,-,Black,,NBC - Heroes,-,good,
450,Michelangelo,Male,blue,Mutant,-,,IDW Publishing,green,good,
451,Micro Lad,Male,grey,-,Brown,183,DC Comics,-,good,77
452,Mimic,Male,brown,-,Brown,188,Marvel Comics,-,good,101
453,Minna Murray,Female,-,-,-,,Wildstorm,-,good,
454,Misfit,Female,blue,-,Red,,DC Comics,-,good,
455,Miss Martian,Female,red,-,Red,178,DC Comics,-,good,61
456,Mister Fantastic,Male,brown,Human / Radiation,Brown,185,Marvel Comics,-,good,81
457,Mister Freeze,Male,-,Human,-,183,DC Comics,-,bad,86
458,Mister Knife,Male,blue,Spartoi,Brown,,Marvel Comics,-,bad,
459,Mister Mxyzptlk,Male,-,God / Eternal,-,,DC Comics,-,bad,
460,Mister Sinister,Male,red,Human / Altered,Black,196,Marvel Comics,-,bad,128
461,Mister Zsasz,Male,blue,Human,Blond,,DC Comics,-,bad,
462,Mockingbird,Female,blue,Human,Blond,175,Marvel Comics,-,good,61
463,MODOK,Male,white,Cyborg,Brownn,366,Marvel Comics,-,bad,338
464,Mogo,Male,-,Planet,-,,DC Comics,-,good,
465,Mohinder Suresh,Male,-,-,-,,NBC - Heroes,-,good,
466,Moloch,Male,-,-,-,,DC Comics,-,bad,
467,Molten Man,Male,gold,-,Gold,196,Marvel Comics,-,bad,248
468,Monarch,Male,blue,-,White,193,DC Comics,-,good,90
469,Monica Dawson,Female,-,-,-,,NBC - Heroes,-,good,
470,Moon Knight,Male,brown,Human,Brown,188,Marvel Comics,-,good,101
471,Moonstone,Female,blue,-,Blond,180,Marvel Comics,-,bad,59
472,Morlun,Male,white / red,-,Black,188,Marvel Comics,-,bad,79
473,Morph,Male,white,-,No Hair,178,Marvel Comics,-,good,79
474,Moses Magnum,Male,brown,-,Black,175,Marvel Comics,-,bad,72
475,Mr Immortal,Male,blue,Mutant,Blond,188,Marvel Comics,-,good,70
476,Mr Incredible,Male,blue,Human,Blond,201,Dark Horse Comics,-,good,158
477,Ms Marvel II,Female,blue,-,Red,173,Marvel Comics,-,good,61
478,Multiple Man,Male,blue,-,Brown,180,Marvel Comics,-,good,70
479,Mysterio,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
480,Mystique,Female,yellow (without irises),Mutant,Red / Orange,178,Marvel Comics,blue,bad,54
481,Namor,Male,-,-,-,,Marvel Comics,-,good,
482,Namor,Male,grey,Atlantean,Black,188,Marvel Comics,-,good,125
483,Namora,Female,blue,-,Blond,180,Marvel Comics,-,good,85
484,Namorita,Female,blue,-,Blond,168,Marvel Comics,-,good,101
485,Naruto Uzumaki,Male,-,Human,-,168,Shueisha,-,good,54
486,Nathan Petrelli,Male,brown,-,-,,NBC - Heroes,-,good,
487,Nebula,Female,blue,Luphomoid,No Hair,185,Marvel Comics,blue,bad,83
488,Negasonic Teenage Warhead,Female,black,Mutant,Black,,Marvel Comics,-,good,
489,Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,-,good,99
490,Nightcrawler,Male,yellow,-,Indigo,175,Marvel Comics,-,good,88
491,Nightwing,Male,blue,Human,Black,178,DC Comics,-,good,79
492,Niki Sanders,Female,blue,-,Blond,,NBC - Heroes,-,good,
493,Nina Theroux,Female,-,Alpha,-,,SyFy,-,good,
494,Nite Owl II,Male,-,-,-,,DC Comics,-,good,
495,Northstar,Male,blue,-,Black,180,Marvel Comics,-,good,83
496,Nova,Male,brown,Human,Brown,185,Marvel Comics,-,good,86
497,Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
498,Odin,Male,blue,God / Eternal,White,206,Marvel Comics,-,good,293
499,Offspring,Male,-,-,-,,DC Comics,-,good,
500,Omega Red,Male,red,-,Blond,211,Marvel Comics,-,bad,191
501,Omniscient,Male,brown,-,Black,180,Team Epic TV,-,good,65
502,One Punch Man,Male,-,Human,No Hair,175,Shueisha,-,good,69
503,One-Above-All,-,-,Cosmic Entity,-,,Marvel Comics,-,neutral,
504,Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,-,bad,405
505,Oracle,Female,blue,Human,Red,178,DC Comics,-,good,59
506,Osiris,Male,brown,-,Brown,,DC Comics,-,good,
507,Overtkill,Male,-,-,-,,Image Comics,-,bad,
508,Ozymandias,Male,blue,Human,Blond,,DC Comics,-,bad,
509,Parademon,-,-,Parademon,-,,DC Comics,-,bad,
510,Paul Blart,Male,-,Human,-,170,Sony Pictures,-,good,117
511,Penance,-,-,-,-,,Marvel Comics,-,good,
512,Penance I,Female,-,-,-,,Marvel Comics,-,good,
513,Penance II,Male,blue,-,Blond,183,Marvel Comics,-,good,89
514,Penguin,Male,blue,Human,Black,157,DC Comics,-,bad,79
515,Peter Petrelli,Male,-,-,-,,NBC - Heroes,-,good,
516,Phantom,Male,-,-,-,,DC Comics,-,good,
517,Phantom Girl,Female,blue,-,Black,168,DC Comics,-,good,54
518,Phoenix,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
519,Plantman,Male,green,Mutant,Grey,183,Marvel Comics,-,bad,87
520,Plastic Lad,Male,-,-,-,,DC Comics,-,good,
521,Plastic Man,Male,blue,Human,Black,185,DC Comics,-,good,80
522,Plastique,Female,blue,-,Red,168,DC Comics,-,bad,55
523,Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
524,Polaris,Female,green,Mutant,Green,170,Marvel Comics,-,good,52
525,Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,-,good,81
526,Power Man,Male,-,Mutant,-,,Marvel Comics,-,good,
527,Predator,Male,-,Yautja,-,213,Dark Horse Comics,-,bad,234
528,Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,-,good,86
529,Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,-,bad,81
530,Proto-Goblin,Male,green,-,Blond,,Marvel Comics,-,bad,
531,Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,-,good,70
532,Punisher,Male,blue,Human,Black,183,Marvel Comics,-,good,90
533,Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
534,Pyro,Male,blue,-,Blond,178,Marvel Comics,-,bad,68
535,Q,Male,-,God / Eternal,-,,Star Trek,-,-,
536,Quantum,Male,-,-,-,,HarperCollins,-,good,
537,Question,Male,blue,Human,Blond,188,DC Comics,-,good,83
538,Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,-,good,79
539,Quill,Male,brown,-,Brown,163,Marvel Comics,-,good,56
540,Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,-,bad,97
541,Rachel Pirzad,Female,-,Alpha,-,,SyFy,-,good,
542,Rambo,Male,brown,Human,Black,178,,-,good,83
543,Raphael,Male,-,Mutant,No Hair,,IDW Publishing,green,good,
544,Raven,Female,indigo,Human,Black,165,DC Comics,-,neutral,50
545,Ray,Male,green,Human,Red,178,DC Comics,-,good,70
546,Razor-Fist II,Male,blue,-,No Hair,191,Marvel Comics,-,bad,117
547,Red Arrow,Male,green,Human,Red,180,DC Comics,-,good,83
548,Red Hood,Male,blue,Human,Black,183,DC Comics,-,neutral,81
549,Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
550,Red Mist,Male,-,-,-,,Icon Comics,-,bad,
551,Red Robin,Male,blue,Human,Black,165,DC Comics,-,good,56
552,Red Skull,Male,blue,-,No Hair,188,Marvel Comics,-,bad,108
553,Red Tornado,Male,green,Android,No Hair,185,DC Comics,-,good,146
554,Redeemer II,Male,-,-,-,,Image Comics,-,bad,
555,Redeemer III,Male,-,-,-,,Image Comics,-,bad,
556,Renata Soliz,Female,-,-,-,,HarperCollins,-,good,
557,Rey,Female,hazel,Human,Brown,297,George Lucas,-,good,
558,Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,-,bad,320
559,Rick Flag,Male,blue,-,Brown,185,DC Comics,-,bad,85
560,Riddler,Male,-,-,-,,DC Comics,-,bad,
561,Rip Hunter,Male,blue,Human,Blond,,DC Comics,-,good,
562,Ripcord,Female,green,-,Black,180,Marvel Comics,-,good,72
563,Robin,Male,blue,Human,Black,178,DC Comics,-,good,79
564,Robin II,Male,blue,Human,Red,183,DC Comics,-,good,101
565,Robin III,Male,blue,Human,Black,165,DC Comics,-,good,56
566,Robin V,Male,blue,Human,Black,137,DC Comics,-,good,38
567,Robin VI,Female,green,Human,Red,,DC Comics,-,neutral,
568,Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,-,good,25
569,Rogue,Female,green,-,Brown / White,173,Marvel Comics,-,good,54
570,Ronin,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
571,Rorschach,Male,blue,Human,Red,168,DC Comics,-,good,63
572,Sabretooth,Male,amber,Mutant,Blond,198,Marvel Comics,-,bad,171
573,Sage,Female,blue,-,Black,170,Marvel Comics,-,good,61
574,Sandman,Male,brown,Human,Brown,185,Marvel Comics,-,neutral,203
575,Sasquatch,Male,red,-,Orange,305,Marvel Comics,-,good,900
576,Sauron,Male,-,Maiar,-,279,J. R. R. Tolkien,-,bad,
577,Savage Dragon,Male,-,-,-,,Image Comics,-,good,
578,Scarecrow,Male,blue,Human,Brown,183,DC Comics,-,bad,63
579,Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,-,good,74
580,Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,-,good,113
581,Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,-,bad,59
582,Scorpia,Female,green,-,Red,,Marvel Comics,-,bad,
583,Scorpion,Male,brown,Human,Brown,211,Marvel Comics,-,bad,310
584,Sebastian Shaw,Male,-,Mutant,-,,Marvel Comics,-,bad,
585,Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,-,neutral,87
586,Shadow King,-,red,-,-,185,Marvel Comics,-,good,149
587,Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
588,Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,-,good,50
589,Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,-,good,79
590,Shatterstar,Male,brown,-,Red,191,Marvel Comics,-,good,88
591,She-Hulk,Female,green,Human,Green,201,Marvel Comics,-,good,315
592,She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,153
593,Shocker,Male,brown,Human,Brown,175,Marvel Comics,-,bad,79
594,Shriek,Female,yellow / blue,-,Black,173,Marvel Comics,-,good,52
595,Shrinking Violet,Female,-,-,-,,DC Comics,-,good,
596,Sif,Female,blue,Asgardian,Black,188,Marvel Comics,-,good,191
597,Silk,Female,brown,Human,Black,,Marvel Comics,-,good,
598,Silk Spectre,Female,-,-,-,,DC Comics,-,good,
599,Silk Spectre II,Female,-,-,-,,DC Comics,-,good,
600,Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
601,Silverclaw,Female,brown,-,Black,157,Marvel Comics,-,good,50
602,Simon Baz,Male,bown,Human,Black,,DC Comics,-,good,
603,Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
604,Siren,Female,blue,Atlantean,Purple,175,DC Comics,-,bad,72
605,Siren II,Female,black,-,-,,DC Comics,-,bad,
606,Siryn,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,bad,52
607,Skaar,Male,green,-,Black,198,Marvel Comics,-,good,180
608,Snake-Eyes,Male,-,Animal,-,,Marvel Comics,-,bad,
609,Snowbird,Female,white,-,Blond,178,Marvel Comics,-,good,49
610,Sobek,Male,white,-,No Hair,,DC Comics,-,good,
611,Solomon Grundy,Male,black,Zombie,White,279,DC Comics,-,bad,437
612,Songbird,Female,green,-,Red / White,165,Marvel Comics,-,good,65
613,Space Ghost,Male,-,Human,-,188,DC Comics,-,good,113
614,Spawn,Male,brown,Demon,Black,211,Image Comics,-,good,405
615,Spectre,Male,white,God / Eternal,No Hair,,DC Comics,white,good,
616,Speedball,Male,-,-,-,,Marvel Comics,-,good,
617,Speedy,Male,-,Human,-,,DC Comics,-,good,
618,Speedy,Female,green,Human,Brown,,DC Comics,-,good,
619,Spider-Carnage,Male,-,Symbiote,-,,Marvel Comics,-,bad,
620,Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,-,good,54
621,Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,-,good,56
622,Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,-,good,74
623,Spider-Man,-,red,Human,Brown,178,Marvel Comics,-,good,77
624,Spider-Man,Male,brown,Human,Black,157,Marvel Comics,-,good,56
625,Spider-Woman,Female,green,Human,Black,178,Marvel Comics,-,good,59
626,Spider-Woman II,Female,-,-,-,,Marvel Comics,-,good,
627,Spider-Woman III,Female,brown,-,Brown,173,Marvel Comics,-,good,55
628,Spider-Woman IV,Female,red,-,White,178,Marvel Comics,-,bad,58
629,Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,-,good,81
630,Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,-,good,83
631,Stacy X,Female,-,-,-,,Marvel Comics,-,good,
632,Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,-,good,79
633,Stardust,Male,-,-,-,,Marvel Comics,-,good,
634,Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
635,Stargirl,Female,blue,Human,Blond,165,DC Comics,-,good,62
636,Static,Male,brown,Mutant,Black,170,DC Comics,-,good,63
637,Steel,Male,brown,-,No Hair,201,DC Comics,-,good,131
638,Stephanie Powell,Female,-,-,Blond,,ABC Studios,-,good,
639,Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
640,Storm,Female,blue,Mutant,White,180,Marvel Comics,-,good,57
641,Stormtrooper,Male,-,Human,-,183,George Lucas,-,bad,
642,Sunspot,Male,brown,Mutant,black,173,Marvel Comics,-,good,77
643,Superboy,Male,blue,-,Black,170,DC Comics,-,good,68
644,Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,-,bad,77
645,Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,-,good,54
646,Superman,Male,blue,Kryptonian,Black,191,DC Comics,-,good,101
647,Swamp Thing,Male,red,God / Eternal,No Hair,,DC Comics,green,bad,
648,Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
649,Sylar,Male,-,-,-,,NBC - Heroes,-,bad,
650,Synch,Male,brown,-,Black,180,Marvel Comics,-,good,74
651,T-1000,Male,-,Android,-,183,Dark Horse Comics,silver,bad,146
652,T-800,Male,red,Cyborg,-,,Dark Horse Comics,-,bad,176
653,T-850,Male,red,Cyborg,-,,Dark Horse Comics,-,bad,198
654,T-X,Female,-,Cyborg,-,,Dark Horse Comics,silver,bad,149
655,Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,-,bad,99
656,Tempest,Female,brown,-,Black,163,Marvel Comics,-,good,54
657,Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
658,The Cape,Male,-,-,-,,,-,good,
659,The Comedian,Male,brown,Human,Black,188,DC Comics,-,neutral,101
660,Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,-,good,225
661,Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,-,good,288
662,Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,-,good,143
663,Thunderbird,Male,brown,-,Black,185,Marvel Comics,-,good,101
664,Thunderbird II,Male,-,-,-,,Marvel Comics,-,good,
665,Thunderbird III,Male,brown,-,Black,175,Marvel Comics,-,good,74
666,Thunderstrike,Male,blue,-,Blond,198,Marvel Comics,-,good,288
667,Thundra,Female,green,-,Red,218,Marvel Comics,-,good,158
668,Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
669,Tigra,Female,green,-,Auburn,178,Marvel Comics,-,good,81
670,Tinkerer,Male,brown,-,White,163,Marvel Comics,-,bad,54
671,Titan,Male,-,-,-,,HarperCollins,-,good,
672,Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
673,Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,-,good,97
674,Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,-,good,117
675,Tracy Strauss,Female,-,-,-,,NBC - Heroes,-,good,
676,Trickster,Male,blue,Human,Blond,183,DC Comics,-,-,81
677,Trigon,Male,yellow,God / Eternal,Black,,DC Comics,red,bad,
678,Triplicate Girl,Female,purple,-,Brown,168,DC Comics,-,good,59
679,Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
680,Two-Face,Male,-,-,-,183,DC Comics,-,bad,82
681,Ultragirl,Female,blue,-,Blond,168,Marvel Comics,-,good,105
682,Ultron,Male,red,Android,-,206,Marvel Comics,silver,bad,331
683,Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,-,bad,58
684,Vagabond,Female,blue,-,Strawberry Blond,168,Marvel Comics,-,good,54
685,Valerie Hart,Female,hazel,-,Black,175,Team Epic TV,-,good,56
686,Valkyrie,Female,blue,-,Blond,191,Marvel Comics,-,good,214
687,Vanisher,Male,green,-,No Hair,165,Marvel Comics,-,bad,79
688,Vegeta,Male,-,Saiyan,Black,168,Shueisha,-,bad,73
689,Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,-,bad,117
690,Venom II,Male,brown,-,Black,175,Marvel Comics,-,bad,50
691,Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,-,bad,334
692,Venompool,Male,-,Symbiote,-,226,Marvel Comics,-,-,
693,Vertigo II,Female,blue,-,Silver,168,Marvel Comics,-,good,52
694,Vibe,Male,brown,Human,Black,178,DC Comics,-,good,71
695,Vindicator,Female,green,Human,Red,165,Marvel Comics,-,good,54
696,Vindicator,Male,-,-,-,,Marvel Comics,-,good,
697,Violator,Male,-,-,-,,Image Comics,-,bad,
698,Violet Parr,Female,violet,Human,Black,137,Dark Horse Comics,-,good,41
699,Vision,Male,gold,Android,No Hair,191,Marvel Comics,red,good,135
700,Vision II,-,red,-,No Hair,191,Marvel Comics,-,good,135
701,Vixen,Female,amber,Human,Black,175,DC Comics,-,good,63
702,Vulcan,Male,black,-,Black,,Marvel Comics,-,good,
703,Vulture,Male,brown,Human,No Hair,180,Marvel Comics,-,bad,79
704,Walrus,Male,blue,Human,Black,183,Marvel Comics,-,bad,162
705,War Machine,Male,brown,Human,Brown,185,Marvel Comics,-,good,95
706,Warbird,Female,blue,-,Blond,180,Marvel Comics,-,good,54
707,Warlock,Male,red,-,Blond,188,Marvel Comics,-,good,108
708,Warp,Male,brown,-,Black,173,DC Comics,-,bad,67
709,Warpath,Male,brown,Mutant,Black,218,Marvel Comics,-,good,158
710,Wasp,Female,blue,Human,Auburn,163,Marvel Comics,-,good,50
711,Watcher,Male,-,-,-,,Marvel Comics,-,good,
712,Weapon XI,Male,-,-,-,,Marvel Comics,-,bad,
713,White Canary,Female,brown,Human,Black,,DC Comics,-,bad,
714,White Queen,Female,blue,-,Blond,178,Marvel Comics,-,good,65
715,Wildfire,Male,-,-,-,,DC Comics,-,good,
716,Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,-,good,117
717,Wiz Kid,-,brown,-,Black,140,Marvel Comics,-,good,39
718,Wolfsbane,Female,green,-,Auburn,366,Marvel Comics,-,good,473
719,Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,-,good,135
720,Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,-,good,51
721,Wonder Man,Male,red,-,Black,188,Marvel Comics,-,good,171
722,Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,-,good,74
723,Wondra,Female,-,-,-,,Marvel Comics,-,good,
724,Wyatt Wingfoot,Male,brown,-,Black,196,Marvel Comics,-,good,117
725,X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,-,good,50
726,X-Man,Male,blue,-,Brown,175,Marvel Comics,-,good,61
727,Yellow Claw,Male,blue,-,No Hair,188,Marvel Comics,-,bad,95
728,Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,-,good,83
729,Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,-,good,52
730,Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,
731,Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
732,Zatanna,Female,blue,Human,Black,170,DC Comics,-,good,57
733,Zoom,Male,red,-,Brown,185,DC Comics,-,bad,81
